No,Map,Total AGVs,Horizontal Time,Time step,Solution,Num of Reaching Target AGVs,Num of Halting AGVs,Objective Value,Running Time(s),# Of Solving,Pedestrian simulation mode
215.0,simplest.txt,2,10,10,networkx,0,2,0,0.6213490962982178,0.0005991458892822266,0,2025-06-08 19:08:52
216.0,simplest.txt,2,10,10,solver,0,2,0,0.01785898208618164,0.013411999999999999,0,2025-06-08 19:08:52
217.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.30080175399780273,0.0013043880462646484,1,2025-06-08 19:08:53
218.0,simplest.txt,2,10,10,solver,2,0,15.0,0.012921333312988281,0.0072629999999999995,1,2025-06-08 19:08:53
219.0,simplest.txt,2,10,10,networkx,0,2,0,0.40726804733276367,0.0007336139678955078,2,2025-06-08 19:08:53
220.0,simplest.txt,2,10,10,solver,0,2,0,0.03908491134643555,0.030914999999999998,2,2025-06-08 19:08:53
221.0,simplest.txt,2,10,10,networkx,2,0,15.0,29.59277057647705,0.002034425735473633,0,2025-06-08 19:11:44
222.0,simplest.txt,2,10,10,networkx,0,2,0,3.861689567565918,0.004039764404296875,0,2025-06-11 08:16:09
223.0,simplest.txt,2,10,10,solver,0,2,0,0.24071860313415527,0.20801599999999998,0,2025-06-11 08:16:09
224.0,simplest.txt,2,10,10,networkx,2,0,15.0,2.2690675258636475,0.0009388923645019531,1,2025-06-11 08:16:12
225.0,simplest.txt,2,10,10,solver,2,0,15.0,0.09640979766845703,0.061028,1,2025-06-11 08:16:13
226.0,simplest.txt,2,10,10,networkx,0,2,0,2.649993658065796,0.002871274948120117,2,2025-06-11 08:16:15
227.0,simplest.txt,2,10,10,solver,0,2,0,0.11946487426757812,0.074515,2,2025-06-11 08:16:16
228.0,simplest.txt,2,10,1,networkx,1,1,15.0,2.5374839305877686,0.0023211240768432617,0,2025-06-11 08:22:52
